Seed no.,Date,Type of Soil,Sunlight,Frequency of water,Nitrogren,Phosphorus,Potassium,Height (mm),Number of leaves
Seed 52,30-Mar,Loam Soil,2,1,1.6,2.1,3.4,39,4
Seed 53,30-Mar,Loam Soil,2,1,2.2,1.8,3.1,37,2
Seed 54,30-Mar,Loam Soil,2,1,1.9,1.3,2.7,34,4
Seed 55,30-Mar,Loam Soil,2,1,2.5,2.2,3.6,56,2
Seed 56,30-Mar,Loam Soil,2,1,2.3,1.6,3,51,2
Seed 57,30-Mar,Loam Soil,2,1,2,1.9,2.5,36,2
Seed 58,30-Mar,Loam Soil,2,1,2.6,1.5,3.2,35,2
Seed 59,30-Mar,Loam Soil,2,1,2.9,1.4,3.5,33,2
Seed 60,30-Mar,Loam Soil,2,1,1.8,2,2.9,37,2
Seed 61,30-Mar,Loam Soil,2,1,2.4,1.7,3.3,45,2
Seed 62,30-Mar,Loam Soil,2,1,2.1,1.9,2.6,28,4
Seed 63,30-Mar,Loam Soil,2,1,2.8,1.6,2.8,32,2
Seed 64,30-Mar,Loam Soil,2,1,1.6,2.1,3.4,45,4
Seed 65,30-Mar,Loam Soil,2,1,2.2,1.8,3.1,54,4
Seed 66,30-Mar,Organic Soil,1.5,1,1.9,1.3,2.7,8,2
Seed 67,30-Mar,Organic Soil,1.5,1,2.5,2.2,3.6,0,0
Seed 68,30-Mar,Organic Soil,1.5,1,2.3,1.6,3,8,2
Seed 69,30-Mar,Organic Soil,1.5,1,2,1.9,2.5,10,2
Seed 70,30-Mar,Organic Soil,1.5,1,2.6,1.5,3.2,0,0
Seed 71,30-Mar,Organic Soil,1.5,1,2.9,1.4,3.5,10,2
Seed 72,30-Mar,Organic Soil,1.5,1,1.8,2,2.9,0,0
Seed 73,30-Mar,Organic Soil,1.5,1,2.1,1.6,3.2,0,0
Seed 74,30-Mar,Organic Soil,1.5,1,2.8,1.9,2.6,13,2
Seed 75,30-Mar,Organic Soil,1.5,1,1.9,1.3,2.9,0,0
Seed 76,30-Mar,Organic Soil,1.5,1,2.5,2.2,3.1,0,0
Seed 77,30-Mar,Organic Soil,1.5,1,2.3,1.5,3.4,11,2
Seed 78,30-Mar,Organic Soil,1.5,1,2,1.8,2.7,0,0
Seed 79,30-Mar,Organic Soil,1.5,1,2.6,1.7,3.5,10,2
Seed 80,30-Mar,Organic Soil,1.5,1,1.7,1.4,3.3,0,0
Seed 81,30-Mar,Organic Soil,1.5,1,2.9,2.1,2.8,0,0
Seed 82,30-Mar,Organic Soil,1.5,1,1.8,1.6,3,8,2
Seed 83,30-Mar,Organic Soil,1.5,1,2.4,1.9,2.5,0,0
Seed 84,30-Mar,Organic Soil,1.5,1,2.2,1.5,3.2,10,2
Seed 85,30-Mar,Organic Soil,1.5,1,2.7,1.3,2.6,0,0
Seed 86,30-Mar,Organic Soil,1.5,1,2.1,1.8,3.4,7,2
Seed 87,30-Mar,Organic Soil,1.5,1,2.8,1.7,2.9,0,0
Seed 88,30-Mar,Organic Soil,1.5,1,1.9,1.4,3.1,8,2
Seed 89,30-Mar,Organic Soil,1.5,1,2.5,2.1,2.7,0,0
Seed 90,30-Mar,Organic Soil,1.5,1,2.3,1.6,3.5,0,0
Seed 91,30-Mar,Organic Soil,1.5,1,2,1.3,3.3,0,0
Seed 92,30-Mar,Organic Soil,1.5,1,2.6,2.2,2.8,8,2
Seed 93,30-Mar,Organic Soil,1.5,1,1.7,1.6,3,0,0
Seed 94,30-Mar,Organic Soil,1.5,1,2.9,1.8,2.5,10,2
Seed 95,30-Mar,Organic Soil,1.5,1,1.8,1.5,3.2,0,0
Seed 96,30-Mar,Organic Soil,1.5,1,2.4,1.3,2.6,0,0
Seed 97,30-Mar,Organic Soil,1.5,1,2.2,1.9,3.4,0,0
Seed 98,30-Mar,Organic Soil,1.5,1,2.7,1.7,2.9,0,0
Seed 99,30-Mar,Organic Soil,1.5,1,2.1,1.4,3.1,10,2
Seed 100,30-Mar,Organic Soil,1.5,1,2.8,2.1,2.7,0,0
Seed 101,30-Mar,Organic Soil,1.5,1,1.9,1.6,3.5,10,2
Seed 102,30-Mar,Organic Soil,1.5,1,2.5,1.3,3.3,0,0
Seed 103,30-Mar,Organic Soil,1.5,1,2.3,2.2,2.8,0,0
Seed 104,30-Mar,Organic Soil,1.5,1,2,1.8,3,10,2
Seed 105,30-Mar,Organic Soil,1.5,1,2.6,1.5,2.5,0,0
Seed 106,30-Mar,Organic Soil,1.5,1,1.7,1.3,3.2,0,0
Seed 107,30-Mar,Organic Soil,1.5,1,2.9,1.9,2.6,13,2
Seed 108,30-Mar,Organic Soil,1.5,1,1.8,1.6,3.4,0,0
Seed 109,30-Mar,Organic Soil,1.5,1,2.4,1.5,2.9,0,0
Seed 110,30-Mar,Organic Soil,1.5,1,2.2,1.4,3.1,11,2
Seed 111,30-Mar,Organic Soil,1.5,1,2,1.3,3.3,0,0
Seed 112,30-Mar,Organic Soil,1.5,1,2.6,2.2,2.8,0,0
Seed 113,30-Mar,Organic Soil,1.5,1,1.7,1.6,3,10,2
Seed 114,30-Mar,Organic Soil,1.5,1,2.9,1.8,2.5,0,0
Seed 115,30-Mar,Organic Soil,1.5,1,1.8,1.5,3.2,0,0
Seed 116,30-Mar,Organic Soil,1.5,1,2.4,1.3,2.6,10,2
Seed 117,30-Mar,Organic Soil,1.5,1,2.2,1.9,3.4,0,0
Seed 118,30-Mar,Organic Soil,1.5,1,2.7,1.7,2.9,0,0
Seed 119,30-Mar,Organic Soil,1.5,1,2.1,1.4,3.1,10,2
Seed 120,30-Mar,Organic Soil,1.5,1,2.8,2.1,2.7,0,0
Seed 121,30-Mar,Organic Soil,1.5,1,1.9,1.6,3.5,8,2
Seed 122,30-Mar,Organic Soil,1.5,1,2.5,1.3,3.3,0,0
Seed 123,30-Mar,Organic Soil,1.5,1,2.3,2.2,2.8,0,0
Seed 124,30-Mar,Organic Soil,1.5,1,2,1.8,3,8,2
Seed 125,30-Mar,Organic Soil,1.5,1,2.6,1.5,2.5,0,0
Seed 126,30-Mar,Organic Soil,1.5,1,1.7,1.3,3.2,0,0
Seed 127,30-Mar,Organic Soil,1.5,1,2.9,1.9,2.6,0,0
Seed 128,30-Mar,Organic Soil,1.5,1,1.8,1.6,3.4,0,0
Seed 129,30-Mar,Organic Soil,1.5,1,2.4,1.5,2.9,8,2
Seed 130,30-Mar,Organic Soil,1.5,1,2.2,1.4,3.1,8,2
Seed 1,31-Mar,Loam Soil,2,1,2.7,2.1,2.7,38,2
Seed 2,31-Mar,Loam Soil,2,1,2,1.3,3.3,40,4
Seed 3,31-Mar,Loam Soil,2,1,2.6,2.2,2.8,35,3
Seed 4,31-Mar,Loam Soil,2,1,1.7,1.6,3,35,2
Seed 5,31-Mar,Loam Soil,2,1,2.9,1.8,2.5,46,3
Seed 6,31-Mar,Loam Soil,2,1,1.8,1.5,3.2,43,2
Seed 7,31-Mar,Loam Soil,2,1,2.4,1.3,2.6,30,2
Seed 8,31-Mar,Loam Soil,2,1,2.2,1.9,3.4,29,4
Seed 9,31-Mar,Loam Soil,2,1,2.7,1.7,2.9,40,2
Seed 10,31-Mar,Loam Soil,2,1,2.1,1.4,3.1,40,2
Seed 11,31-Mar,Loam Soil,2,1,2.8,2.1,2.7,35,3
Seed 12,31-Mar,Loam Soil,2,1,1.9,1.6,3.5,30,3
Seed 13,31-Mar,Loam Soil,2,1,2.5,1.3,3.3,30,2
Seed 14,31-Mar,Loam Soil,2,1,2.3,2.2,2.8,36,2
Seed 15,31-Mar,Loam Soil,2,1,2,1.8,3,50,3
Seed 16,31-Mar,Loam Soil,2,1,2.6,1.5,2.5,50,4
Seed 17,31-Mar,Loam Soil,2,1,1.7,1.3,3.2,38,4
Seed 18,31-Mar,Loam Soil,2,1,2.9,1.9,2.6,39,2
Seed 19,31-Mar,Loam Soil,2,1,2.6,2,3.7,28,4
Seed 20,31-Mar,Loam Soil,2,1,1.9,1.4,2.8,34,4
Seed 21,31-Mar,Loam Soil,2,1,2.3,1.8,3.2,33,3
Seed 22,31-Mar,Loam Soil,2,1,2.1,1.3,3.5,33,4
Seed 23,31-Mar,Loam Soil,2,1,2.8,2.2,2.6,38,2
Seed 24,31-Mar,Loam Soil,2,1,2.4,1.6,3.1,42,2
Seed 25,31-Mar,Loam Soil,2,1,2,1.9,2.7,50,2
Seed 26,31-Mar,Loam Soil,2,1,2.7,1.5,3.4,53,2
Seed 27,31-Mar,Loam Soil,2,1,2.5,1.7,3,36,3
Seed 28,31-Mar,Loam Soil,2,1,2.2,1.2,2.9,33,3
Seed 29,31-Mar,Loam Soil,2,1,1.8,2.1,3.3,30,3
Seed 30,31-Mar,Loam Soil,2,1,2.9,1.4,2.5,31,2
Seed 31,31-Mar,Loam Soil,2,1,2.3,1.7,3.6,53,4
Seed 32,31-Mar,Loam Soil,2,1,2.1,1.9,2.8,0,0
Seed 33,31-Mar,Loam Soil,2,1,2.6,1.3,3.2,25,3
Seed 34,31-Mar,Loam Soil,2,1,2.4,1.5,3.5,35,4
Seed 35,31-Mar,Loam Soil,2,1,2,2.2,2.6,49,2
Seed 36,31-Mar,Loam Soil,2,1,2.7,1.6,3.1,50,2
Seed 37,31-Mar,Loam Soil,2,1,2.5,1.8,2.7,43,2
Seed 38,31-Mar,Loam Soil,2,1,2.2,1.4,3.4,41,2
Seed 39,31-Mar,Loam Soil,2,1,2.8,1.7,3,39,2
Seed 40,31-Mar,Loam Soil,2,1,2.3,1.2,2.9,37,2
Seed 41,31-Mar,Loam Soil,2,1,2.1,2.1,3.3,40,2
Seed 42,31-Mar,Loam Soil,2,1,2.9,1.3,2.5,44,2
Seed 43,31-Mar,Loam Soil,2,1,2.6,1.7,3.6,33,2
Seed 44,31-Mar,Loam Soil,2,1,2.4,1.9,2.8,35,2
Seed 45,31-Mar,Loam Soil,2,1,2,1.3,3.2,41,2
Seed 46,31-Mar,Loam Soil,2,1,2.7,1.5,3.5,53,2
Seed 47,31-Mar,Loam Soil,2,1,2.5,2.2,2.6,50,2
Seed 48,31-Mar,Loam Soil,2,1,2.2,1.6,3.1,33,2
Seed 49,31-Mar,Loam Soil,2,1,2.8,1.8,2.7,40,3
Seed 50,31-Mar,Loam Soil,2,1,2.3,1.4,3.4,43,2
Seed 51,31-Mar,Loam Soil,2,1,2.1,1.7,3,43,2
Seed 52,31-Mar,Loam Soil,2,1,2.6,1.2,2.9,39,4
Seed 53,31-Mar,Loam Soil,2,1,2.4,2.1,3.3,37,2
Seed 54,31-Mar,Loam Soil,2,1,2,1.4,2.5,36,4
Seed 55,31-Mar,Loam Soil,2,1,2.7,1.7,3.6,59,2
Seed 56,31-Mar,Loam Soil,2,1,2.5,1.9,2.8,51,2
Seed 57,31-Mar,Loam Soil,2,1,2.4,1.5,3.2,38,2
Seed 58,31-Mar,Loam Soil,2,1,2.1,1.9,3.6,35,2
Seed 59,31-Mar,Loam Soil,2,1,2.7,1.3,2.7,33,2
Seed 60,31-Mar,Loam Soil,2,1,2.5,1.7,3.1,39,2
Seed 61,31-Mar,Loam Soil,2,1,2.2,2.2,3.5,45,2
Seed 62,31-Mar,Loam Soil,2,1,2.8,1.6,2.9,28,4
Seed 63,31-Mar,Loam Soil,2,1,2.3,1.4,3.4,34,2
Seed 64,31-Mar,Loam Soil,2,1,2.1,1.8,3,46,4
Seed 65,31-Mar,Loam Soil,2,1,2.6,1.2,2.8,54,4
Seed 66,31-Mar,Organic Soil,1.5,1,2.4,2.1,3.3,8,2
Seed 67,31-Mar,Organic Soil,1.5,1,2,1.5,2.6,0,0
Seed 68,31-Mar,Organic Soil,1.5,1,2.7,1.7,3.7,8,2
Seed 69,31-Mar,Organic Soil,1.5,1,2.5,1.9,2.9,10,2
Seed 70,31-Mar,Organic Soil,1.5,1,2.2,1.3,3.2,0,0
Seed 71,31-Mar,Organic Soil,1.5,1,2.8,1.6,3.5,10,2
Seed 72,31-Mar,Organic Soil,1.5,1,2.3,2.2,2.7,0,0
Seed 73,31-Mar,Organic Soil,1.5,1,2.1,1.4,3.1,0,0
Seed 74,31-Mar,Organic Soil,1.5,1,2.6,1.8,3.4,14,2
Seed 75,31-Mar,Organic Soil,1.5,1,2.4,1.7,3,0,0
Seed 76,31-Mar,Organic Soil,1.5,1,2,1.2,2.8,0,0
Seed 77,31-Mar,Organic Soil,1.5,1,2.7,2.1,3.3,15,2
Seed 78,31-Mar,Organic Soil,1.5,1,2.5,1.5,2.6,0,0
Seed 79,31-Mar,Organic Soil,1.5,1,2.2,1.9,3.7,13,2
Seed 80,31-Mar,Organic Soil,1.5,1,2.8,1.3,2.9,0,0
Seed 81,31-Mar,Organic Soil,1.5,1,2.3,1.7,3.2,0,0
Seed 82,31-Mar,Organic Soil,1.5,1,2.1,1.6,3.5,10,2
Seed 83,31-Mar,Organic Soil,1.5,1,2.6,1.4,2.7,0,0
Seed 84,31-Mar,Organic Soil,1.5,1,2.4,1.8,3.1,13,2
Seed 85,31-Mar,Organic Soil,1.5,1,2,1.3,3.4,0,0
Seed 86,31-Mar,Organic Soil,1.5,1,2.7,2.2,3,9,2
Seed 87,31-Mar,Organic Soil,1.5,1,2.5,1.6,2.8,0,0
Seed 88,31-Mar,Organic Soil,1.5,1,2.2,1.4,3.3,10,2
Seed 89,31-Mar,Organic Soil,1.5,1,2.8,1.9,2.6,0,0
Seed 90,31-Mar,Organic Soil,1.5,1,2.3,1.5,3.7,0,0
Seed 91,31-Mar,Organic Soil,1.5,1,2.1,1.7,2.9,0,0
Seed 92,31-Mar,Organic Soil,1.5,1,2.6,1.2,3.2,10,2
Seed 93,31-Mar,Organic Soil,1.5,1,2.4,2.1,3.5,0,0
Seed 94,31-Mar,Organic Soil,1.5,1,2,1.6,2.7,10,2
Seed 95,31-Mar,Organic Soil,1.5,1,2.5,1.4,3.1,0,0
Seed 96,31-Mar,Organic Soil,1.5,1,2.2,1.9,3.6,0,0
Seed 97,31-Mar,Organic Soil,1.5,1,2.8,1.3,2.8,0,0
Seed 98,31-Mar,Organic Soil,1.5,1,2.3,1.7,3.2,0,0
Seed 99,31-Mar,Organic Soil,1.5,1,2.1,2.2,3.5,10,2
Seed 100,31-Mar,Organic Soil,1.5,1,2.6,1.6,2.9,0,0
Seed 101,31-Mar,Organic Soil,1.5,1,2.4,1.4,3.3,13,2
Seed 102,31-Mar,Organic Soil,1.5,1,2,1.8,2.7,0,0
Seed 103,31-Mar,Organic Soil,1.5,1,2.7,1.2,2.6,0,0
Seed 104,31-Mar,Organic Soil,1.5,1,2.5,2.1,3,13,2
Seed 105,31-Mar,Organic Soil,1.5,1,2.2,1.5,3.4,0,0
Seed 106,31-Mar,Organic Soil,1.5,1,2.8,1.7,2.8,0,0
Seed 107,31-Mar,Organic Soil,1.5,1,2.3,1.9,3.1,15,2
Seed 108,31-Mar,Organic Soil,1.5,1,2.1,1.3,3.5,0,0
Seed 109,31-Mar,Organic Soil,1.5,1,2.6,1.7,2.9,0,0
Seed 110,31-Mar,Organic Soil,1.5,1,2.4,1.6,3.3,13,2
Seed 111,31-Mar,Organic Soil,1.5,1,2,1.2,2.7,0,0
Seed 112,31-Mar,Organic Soil,1.5,1,2.7,2.1,3,0,0
Seed 113,31-Mar,Organic Soil,1.5,1,2.5,1.5,3.4,13,2
Seed 114,31-Mar,Organic Soil,1.5,1,2.2,1.8,3.2,0,0
Seed 115,31-Mar,Organic Soil,1.5,1,2.8,1.4,2.6,0,0
Seed 116,31-Mar,Organic Soil,1.5,1,2.3,1.6,3.1,13,2
Seed 117,31-Mar,Organic Soil,1.5,1,2.1,1.9,3.5,0,0
Seed 118,31-Mar,Organic Soil,1.5,1,2.6,1.3,2.9,0,0
Seed 119,31-Mar,Organic Soil,1.5,1,2.4,1.7,3.3,10,2
Seed 120,31-Mar,Organic Soil,1.5,1,2,2.2,2.7,0,0
Seed 121,31-Mar,Organic Soil,1.5,1,2.7,1.5,3,11,2
Seed 122,31-Mar,Organic Soil,1.5,1,2.5,1.8,3.4,0,0
Seed 123,31-Mar,Organic Soil,1.5,1,2.2,1.4,2.8,0,0
Seed 124,31-Mar,Organic Soil,1.5,1,2.8,1.6,3.1,10,2
Seed 125,31-Mar,Organic Soil,1.5,1,2.3,1.2,3.5,0,0
Seed 126,31-Mar,Organic Soil,1.5,1,2.1,2.1,2.9,0,0
Seed 127,31-Mar,Organic Soil,1.5,1,2.6,1.5,3.3,0,0
Seed 128,31-Mar,Organic Soil,1.5,1,2.4,1.9,2.7,0,0
Seed 129,31-Mar,Organic Soil,1.5,1,2,1.3,3,10,2
Seed 130,31-Mar,Organic Soil,1.5,1,2.7,1.7,3.4,10,2
Seed 1,1-Apr,Loam Soil,2,1,2.7,2.1,2.7,38,2
Seed 2,1-Apr,Loam Soil,2,1,2,1.3,3.3,40,4
Seed 3,1-Apr,Loam Soil,2,1,2.6,2.2,2.8,38,3
Seed 4,1-Apr,Loam Soil,2,1,1.7,1.6,3,35,2
Seed 5,1-Apr,Loam Soil,2,1,2.9,1.8,2.5,46,3
Seed 6,1-Apr,Loam Soil,2,1,1.8,1.5,3.2,43,2
Seed 7,1-Apr,Loam Soil,2,1,2.4,1.3,2.6,30,2
Seed 8,1-Apr,Loam Soil,2,1,2.2,1.9,3.4,30,4
Seed 9,1-Apr,Loam Soil,2,1,2.7,1.7,2.9,40,2
Seed 10,1-Apr,Loam Soil,2,1,2.1,1.4,3.1,40,2
Seed 11,1-Apr,Loam Soil,2,1,2.8,2.1,2.7,35,3
Seed 12,1-Apr,Loam Soil,2,1,1.9,1.6,3.5,30,3
Seed 13,1-Apr,Loam Soil,2,1,2.5,1.3,3.3,33,2
Seed 14,1-Apr,Loam Soil,2,1,2.3,2.2,2.8,36,2
Seed 15,1-Apr,Loam Soil,2,1,2,1.8,3,50,3
Seed 16,1-Apr,Loam Soil,2,1,2.6,1.5,2.5,51,4
Seed 17,1-Apr,Loam Soil,2,1,1.7,1.3,3.2,39,4
Seed 18,1-Apr,Loam Soil,2,1,2.9,1.9,2.6,39,2
Seed 19,1-Apr,Loam Soil,2,1,2.6,2,3.7,30,4
Seed 20,1-Apr,Loam Soil,2,1,1.9,1.4,2.8,35,4
Seed 21,1-Apr,Loam Soil,2,1,2.3,1.8,3.2,34,3
Seed 22,1-Apr,Loam Soil,2,1,2.1,1.3,3.5,33,4
Seed 23,1-Apr,Loam Soil,2,1,2.8,2.2,2.6,38,2
Seed 24,1-Apr,Loam Soil,2,1,2.4,1.6,3.1,42,2
Seed 25,1-Apr,Loam Soil,2,1,2,1.9,2.7,50,2
Seed 26,1-Apr,Loam Soil,2,1,2.7,1.5,3.4,53,2
Seed 27,1-Apr,Loam Soil,2,1,2.5,1.7,3,38,3
Seed 28,1-Apr,Loam Soil,2,1,2.2,1.2,2.9,34,3
Seed 29,1-Apr,Loam Soil,2,1,1.8,2.1,3.3,30,3
Seed 30,1-Apr,Loam Soil,2,1,2.9,1.4,2.5,33,2
Seed 31,1-Apr,Loam Soil,2,1,2.3,1.7,3.6,53,4
Seed 32,1-Apr,Loam Soil,2,1,2.1,1.9,2.8,0,0
Seed 33,1-Apr,Loam Soil,2,1,2.6,1.3,3.2,25,3
Seed 34,1-Apr,Loam Soil,2,1,2.4,1.5,3.5,35,4
Seed 35,1-Apr,Loam Soil,2,1,2,2.2,2.6,50,2
Seed 36,1-Apr,Loam Soil,2,1,2.7,1.6,3.1,50,2
Seed 37,1-Apr,Loam Soil,2,1,2.5,1.8,2.7,43,2
Seed 38,1-Apr,Loam Soil,2,1,2.2,1.4,3.4,42,2
Seed 39,1-Apr,Loam Soil,2,1,2.8,1.7,3,39,2
Seed 40,1-Apr,Loam Soil,2,1,2.3,1.2,2.9,40,2
Seed 41,1-Apr,Loam Soil,2,1,2.1,2.1,3.3,40,2
Seed 42,1-Apr,Loam Soil,2,1,2.9,1.3,2.5,44,3
Seed 43,1-Apr,Loam Soil,2,1,2.6,1.7,3.6,33,2
Seed 44,1-Apr,Loam Soil,2,1,2.4,1.9,2.8,36,2
Seed 45,1-Apr,Loam Soil,2,1,2,1.3,3.2,41,2
Seed 46,1-Apr,Loam Soil,2,1,2.7,1.5,3.5,53,2
Seed 47,1-Apr,Loam Soil,2,1,2.5,2.2,2.6,50,2
Seed 48,1-Apr,Loam Soil,2,1,2.2,1.6,3.1,33,3
Seed 49,1-Apr,Loam Soil,2,1,2.8,1.8,2.7,40,3
Seed 50,1-Apr,Loam Soil,2,1,2.3,1.4,3.4,43,2
Seed 51,1-Apr,Loam Soil,2,1,2.1,1.7,3,43,2
Seed 52,1-Apr,Loam Soil,2,1,2.6,1.2,2.9,39,4
Seed 53,1-Apr,Loam Soil,2,1,2.4,2.1,3.3,37,2
Seed 54,1-Apr,Loam Soil,2,1,2,1.4,2.5,39,4
Seed 55,1-Apr,Loam Soil,2,1,2.7,1.7,3.6,59,2
Seed 56,1-Apr,Loam Soil,2,1,2.5,1.9,2.8,54,2
Seed 57,1-Apr,Loam Soil,2,1,2.4,1.5,3.2,38,2
Seed 58,1-Apr,Loam Soil,2,1,2.1,1.9,3.6,35,2
Seed 59,1-Apr,Loam Soil,2,1,2.7,1.3,2.7,33,2
Seed 60,1-Apr,Loam Soil,2,1,2.5,1.7,3.1,39,2
Seed 61,1-Apr,Loam Soil,2,1,2.2,2.2,3.5,45,2
Seed 62,1-Apr,Loam Soil,2,1,2.8,1.6,2.9,28,4
Seed 63,1-Apr,Loam Soil,2,1,2.3,1.4,3.4,34,2
Seed 64,1-Apr,Loam Soil,2,1,2.1,1.8,3,50,4
Seed 65,1-Apr,Loam Soil,2,1,2.6,1.2,2.8,55,4
Seed 66,1-Apr,Organic Soil,1.5,1,2.4,2.1,3.3,11,2
Seed 67,1-Apr,Organic Soil,1.5,1,2,1.5,2.6,0,0
Seed 68,1-Apr,Organic Soil,1.5,1,2.7,1.7,3.7,11,2
Seed 69,1-Apr,Organic Soil,1.5,1,2.5,1.9,2.9,13,2
Seed 70,1-Apr,Organic Soil,1.5,1,2.2,1.3,3.2,0,0
Seed 71,1-Apr,Organic Soil,1.5,1,2.8,1.6,3.5,12,2
Seed 72,1-Apr,Organic Soil,1.5,1,2.3,2.2,2.7,0,0
Seed 73,1-Apr,Organic Soil,1.5,1,2.1,1.4,3.1,0,0
Seed 74,1-Apr,Organic Soil,1.5,1,2.6,1.8,3.4,14,2
Seed 75,1-Apr,Organic Soil,1.5,1,2.4,1.7,3,0,0
Seed 76,1-Apr,Organic Soil,1.5,1,2,1.2,2.8,0,0
Seed 77,1-Apr,Organic Soil,1.5,1,2.7,2.1,3.3,17,2
Seed 78,1-Apr,Organic Soil,1.5,1,2.5,1.5,2.6,0,0
Seed 79,1-Apr,Organic Soil,1.5,1,2.2,1.9,3.7,16,2
Seed 80,1-Apr,Organic Soil,1.5,1,2.8,1.3,2.9,0,0
Seed 81,1-Apr,Organic Soil,1.5,1,2.3,1.7,3.2,0,0
Seed 82,1-Apr,Organic Soil,1.5,1,2.1,1.6,3.5,12,2
Seed 83,1-Apr,Organic Soil,1.5,1,2.6,1.4,2.7,0,0
Seed 84,1-Apr,Organic Soil,1.5,1,2.4,1.8,3.1,15,2
Seed 85,1-Apr,Organic Soil,1.5,1,2,1.3,3.4,0,0
Seed 86,1-Apr,Organic Soil,1.5,1,2.7,2.2,3,11,2
Seed 87,1-Apr,Organic Soil,1.5,1,2.5,1.6,2.8,0,0
Seed 88,1-Apr,Organic Soil,1.5,1,2.2,1.4,3.3,13,2
Seed 89,1-Apr,Organic Soil,1.5,1,2.8,1.9,2.6,0,0
Seed 90,1-Apr,Organic Soil,1.5,1,2.3,1.5,3.7,0,0
Seed 91,1-Apr,Organic Soil,1.5,1,2.1,1.7,2.9,0,0
Seed 92,1-Apr,Organic Soil,1.5,1,2.6,1.2,3.2,10,2
Seed 93,1-Apr,Organic Soil,1.5,1,2.4,2.1,3.5,0,0
Seed 94,1-Apr,Organic Soil,1.5,1,2,1.6,2.7,12,2
Seed 95,1-Apr,Organic Soil,1.5,1,2.5,1.4,3.1,0,0
Seed 96,1-Apr,Organic Soil,1.5,1,2.2,1.9,3.6,0,0
Seed 97,1-Apr,Organic Soil,1.5,1,2.8,1.3,2.8,0,0
Seed 98,1-Apr,Organic Soil,1.5,1,2.3,1.7,3.2,0,0
Seed 99,1-Apr,Organic Soil,1.5,1,2.1,2.2,3.5,15,2
Seed 100,1-Apr,Organic Soil,1.5,1,2.6,1.6,2.9,0,0
Seed 101,1-Apr,Organic Soil,1.5,1,2.4,1.4,3.3,13,2
Seed 102,1-Apr,Organic Soil,1.5,1,2,1.8,2.7,0,0
Seed 103,1-Apr,Organic Soil,1.5,1,2.7,1.2,2.6,0,0
Seed 104,1-Apr,Organic Soil,1.5,1,2.5,2.1,3,15,2
Seed 105,1-Apr,Organic Soil,1.5,1,2.2,1.5,3.4,0,0
Seed 106,1-Apr,Organic Soil,1.5,1,2.8,1.7,2.8,0,0
Seed 107,1-Apr,Organic Soil,1.5,1,2.3,1.9,3.1,15,2
Seed 108,1-Apr,Organic Soil,1.5,1,2.1,1.3,3.5,0,0
Seed 109,1-Apr,Organic Soil,1.5,1,2.6,1.7,2.9,0,0
Seed 110,1-Apr,Organic Soil,1.5,1,2.4,1.6,3.3,16,2
Seed 111,1-Apr,Organic Soil,1.5,1,2,1.2,2.7,0,0
Seed 112,1-Apr,Organic Soil,1.5,1,2.7,2.1,3,0,0
Seed 113,1-Apr,Organic Soil,1.5,1,2.5,1.5,3.4,15,2
Seed 114,1-Apr,Organic Soil,1.5,1,2.2,1.8,3.2,0,0
Seed 115,1-Apr,Organic Soil,1.5,1,2.8,1.4,2.6,0,0
Seed 116,1-Apr,Organic Soil,1.5,1,2.3,1.6,3.1,13,2
Seed 117,1-Apr,Organic Soil,1.5,1,2.1,1.9,3.5,0,0
Seed 118,1-Apr,Organic Soil,1.5,1,2.6,1.3,2.9,0,0
Seed 119,1-Apr,Organic Soil,1.5,1,2.4,1.7,3.3,13,2
Seed 120,1-Apr,Organic Soil,1.5,1,2,2.2,2.7,0,0
Seed 121,1-Apr,Organic Soil,1.5,1,2.7,1.5,3,13,2
Seed 122,1-Apr,Organic Soil,1.5,1,2.5,1.8,3.4,0,0
Seed 123,1-Apr,Organic Soil,1.5,1,2.2,1.4,2.8,0,0
Seed 124,1-Apr,Organic Soil,1.5,1,2.8,1.6,3.1,10,2
Seed 125,1-Apr,Organic Soil,1.5,1,2.3,1.2,3.5,0,0
Seed 126,1-Apr,Organic Soil,1.5,1,2.1,2.1,2.9,0,0
Seed 127,1-Apr,Organic Soil,1.5,1,2.6,1.5,3.3,0,0
Seed 128,1-Apr,Organic Soil,1.5,1,2.4,1.9,2.7,0,0
Seed 129,1-Apr,Organic Soil,1.5,1,2,1.3,3,12,2
Seed 130,1-Apr,Organic Soil,1.5,1,2.7,1.7,3.4,13,2
Seed 1,2-Apr,Loam Soil,2,1,2.7,2.1,2.7,38,2
Seed 2,2-Apr,Loam Soil,2,1,2,1.3,3.3,40,4
Seed 3,2-Apr,Loam Soil,2,1,2.6,2.2,2.8,38,3
Seed 4,2-Apr,Loam Soil,2,1,1.7,1.6,3,35,2
Seed 5,2-Apr,Loam Soil,2,1,2.9,1.8,2.5,46,3
Seed 6,2-Apr,Loam Soil,2,1,1.8,1.5,3.2,43,2
Seed 7,2-Apr,Loam Soil,2,1,2.4,1.3,2.6,30,2
Seed 8,2-Apr,Loam Soil,2,1,2.2,1.9,3.4,30,4
Seed 9,2-Apr,Loam Soil,2,1,2.7,1.7,2.9,40,2
Seed 10,2-Apr,Loam Soil,2,1,2.1,1.4,3.1,40,2
Seed 11,2-Apr,Loam Soil,2,1,2.8,2.1,2.7,35,3
Seed 12,2-Apr,Loam Soil,2,1,1.9,1.6,3.5,30,3
