Seed no.,Date,Type of Soil,Sunlight,Frequency of water,Nitrogren,Phosphorus,Potassium,Height (mm),Number of leaves
Seed 19,26-Mar,Loam Soil,2,1,2.3,1.1,2.7,22,2
Seed 20,26-Mar,Loam Soil,2,1,2.7,1.3,2.6,29,2
Seed 21,26-Mar,Loam Soil,2,1,1.9,1.8,3.3,26,2
Seed 22,26-Mar,Loam Soil,2,1,2.1,2,2.5,29,4
Seed 23,26-Mar,Loam Soil,2,1,1.6,1.5,2.9,33,2
Seed 24,26-Mar,Loam Soil,2,1,2.4,1.6,3.1,38,2
Seed 25,26-Mar,Loam Soil,2,1,2.6,2.3,3.4,43,2
Seed 26,26-Mar,Loam Soil,2,1,1.7,1.9,2.4,44,2
Seed 27,26-Mar,Loam Soil,2,1,2,1.2,3.4,30,2
Seed 28,26-Mar,Loam Soil,2,1,1.3,2.1,2.9,27,2
Seed 29,26-Mar,Loam Soil,2,1,2.5,1.5,2.8,21,2
Seed 30,26-Mar,Loam Soil,2,1,1.4,1.1,2.6,26,2
Seed 31,26-Mar,Loam Soil,2,1,2.8,1.4,3.3,27,2
Seed 32,26-Mar,Loam Soil,2,1,2.2,1.7,3,0,0
Seed 33,26-Mar,Loam Soil,2,1,1.8,1.3,2.5,17,2
Seed 34,26-Mar,Loam Soil,2,1,2.3,2.1,2.9,32,2
Seed 35,26-Mar,Loam Soil,2,1,1.5,1.6,3.2,41,2
Seed 36,26-Mar,Loam Soil,2,1,2.7,1.2,3.1,44,2
Seed 37,26-Mar,Loam Soil,2,1,1.9,2.2,2.3,38,2
Seed 38,26-Mar,Loam Soil,2,1,2.1,1.5,3.4,34,2
Seed 39,26-Mar,Loam Soil,2,1,1.6,1.4,3,31,2
Seed 40,26-Mar,Loam Soil,2,1,2.2,1.6,2.7,28,2
Seed 41,26-Mar,Loam Soil,2,1,1.9,1.7,3.3,33,2
Seed 42,26-Mar,Loam Soil,2,1,2.5,1.5,2.6,30,2
Seed 43,26-Mar,Loam Soil,2,1,1.6,2.3,2.9,29,2
Seed 44,26-Mar,Loam Soil,2,1,2.4,1.8,3.1,28,2
Seed 45,26-Mar,Loam Soil,2,1,2.7,1.1,2.8,36,2
Seed 46,26-Mar,Loam Soil,2,1,1.8,1.4,3.2,47,2
Seed 47,26-Mar,Loam Soil,2,1,2.1,1.2,2.6,41,2
Seed 48,26-Mar,Loam Soil,2,1,1.5,2.2,3.3,27,2
Seed 49,26-Mar,Loam Soil,2,1,2.3,1.9,2.7,36,2
Seed 50,26-Mar,Loam Soil,2,1,2,1.5,3,31,2
Seed 51,26-Mar,Loam Soil,2,1,1.7,2,3.4,37,2
Seed 52,26-Mar,Loam Soil,2,1,2.6,2.1,2.5,33,3
Seed 53,26-Mar,Loam Soil,2,1,1.4,1.3,2.9,33,2
Seed 54,26-Mar,Loam Soil,2,1,2.8,1.6,2.6,30,4
Seed 55,26-Mar,Loam Soil,2,1,1.3,1.8,2.4,52,2
Seed 56,26-Mar,Loam Soil,2,1,2.5,1.7,2.9,45,2
Seed 57,26-Mar,Loam Soil,2,1,1.9,2.3,2.8,30,2
Seed 58,26-Mar,Loam Soil,2,1,2.2,1.4,3.1,28,2
Seed 59,26-Mar,Loam Soil,2,1,1.6,1.2,3.3,27,2
Seed 60,26-Mar,Loam Soil,2,1,2.4,1.6,2.5,31,2
Seed 61,26-Mar,Loam Soil,2,1,2.7,1.5,2.7,36,2
Seed 62,26-Mar,Loam Soil,2,1,1.8,2,3.2,24,2
Seed 63,26-Mar,Loam Soil,2,1,2.1,1.1,2.6,27,2
Seed 64,26-Mar,Loam Soil,2,1,1.5,1.7,3.4,27,2
Seed 65,26-Mar,Loam Soil,2,1,2.3,1.9,2.9,49,3
Seed 66,26-Mar,Organic Soil,1.5,1,2.6,2.2,2.7,0,0
Seed 67,26-Mar,Organic Soil,1.5,1,1.7,1.4,3,0,0
Seed 68,26-Mar,Organic Soil,1.5,1,2,2.1,2.3,0,0
Seed 69,26-Mar,Organic Soil,1.5,1,1.4,1.5,2.8,0,0
Seed 70,26-Mar,Organic Soil,1.5,1,2.8,1.2,2.5,0,0
Seed 71,26-Mar,Organic Soil,1.5,1,2.2,1.8,3.3,5,2
Seed 72,26-Mar,Organic Soil,1.5,1,1.9,1.6,3.1,0,0
Seed 73,26-Mar,Organic Soil,1.5,1,2.5,1.3,2.6,0,0
Seed 74,26-Mar,Organic Soil,1.5,1,1.6,2,3.4,0,0
Seed 75,26-Mar,Organic Soil,1.5,1,2.4,1.7,2.4,0,0
Seed 76,26-Mar,Organic Soil,1.5,1,2.7,1.4,3.1,0,0
Seed 77,26-Mar,Organic Soil,1.5,1,1.8,1.1,2.7,0,0
Seed 78,26-Mar,Organic Soil,1.5,1,2.5,1.8,2.7,0,0
Seed 79,26-Mar,Organic Soil,1.5,1,1.6,1.7,3.3,0,0
Seed 80,26-Mar,Organic Soil,1.5,1,2.2,1.5,2.6,0,0
Seed 81,26-Mar,Organic Soil,1.5,1,1.9,2.3,2.9,0,0
Seed 82,26-Mar,Organic Soil,1.5,1,2.7,1.6,3.1,0,0
Seed 83,26-Mar,Organic Soil,1.5,1,1.8,1.3,2.8,0,0
Seed 84,26-Mar,Organic Soil,1.5,1,2.1,2,3.2,0,0
Seed 85,26-Mar,Organic Soil,1.5,1,1.5,1.4,2.6,0,0
Seed 86,26-Mar,Organic Soil,1.5,1,2.3,1.2,3.4,0,0
Seed 87,26-Mar,Organic Soil,1.5,1,2.6,1.9,2.7,0,0
Seed 88,26-Mar,Organic Soil,1.5,1,1.7,1.5,3,5,2
Seed 89,26-Mar,Organic Soil,1.5,1,2.4,2.2,2.5,0,0
Seed 90,26-Mar,Organic Soil,1.5,1,1.4,1.8,3.2,0,0
Seed 91,26-Mar,Organic Soil,1.5,1,2.8,1.7,2.9,0,0
Seed 92,26-Mar,Organic Soil,1.5,1,2.2,1.6,2.7,5,2
Seed 93,26-Mar,Organic Soil,1.5,1,1.9,1.3,3.3,0,0
Seed 94,26-Mar,Organic Soil,1.5,1,2.5,2.3,2.6,0,0
Seed 95,26-Mar,Organic Soil,1.5,1,1.6,1.2,2.8,0,0
Seed 96,26-Mar,Organic Soil,1.5,1,2.3,2,3.1,0,0
Seed 97,26-Mar,Organic Soil,1.5,1,1.8,1.5,2.6,0,0
Seed 98,26-Mar,Organic Soil,1.5,1,2.1,1.9,3.4,0,0
Seed 99,26-Mar,Organic Soil,1.5,1,1.5,1.6,2.5,5,2
Seed 100,26-Mar,Organic Soil,1.5,1,2.4,1.4,3,0,0
Seed 101,26-Mar,Organic Soil,1.5,1,2.7,1.1,2.7,0,0
Seed 102,26-Mar,Organic Soil,1.5,1,1.7,2.2,3.2,0,0
Seed 103,26-Mar,Organic Soil,1.5,1,2,1.7,2.9,0,0
Seed 104,26-Mar,Organic Soil,1.5,1,1.4,1.5,3.1,5,2
Seed 105,26-Mar,Organic Soil,1.5,1,2.8,2.3,2.6,0,0
Seed 106,26-Mar,Organic Soil,1.5,1,2.2,1.8,2.7,0,0
Seed 107,26-Mar,Organic Soil,1.5,1,1.9,1.6,3.3,0,0
Seed 108,26-Mar,Organic Soil,1.5,1,2.5,1.3,2.8,0,0
Seed 109,26-Mar,Organic Soil,1.5,1,1.6,2,3.4,0,0
Seed 110,26-Mar,Organic Soil,1.5,1,2.3,1.7,2.4,0,0
Seed 111,26-Mar,Organic Soil,1.5,1,1.8,1.2,3.1,0,0
Seed 112,26-Mar,Organic Soil,1.5,1,2.1,2.2,2.9,0,0
Seed 113,26-Mar,Organic Soil,1.5,1,1.5,1.9,2.7,0,0
Seed 114,26-Mar,Organic Soil,1.5,1,2.4,1.6,3.2,0,0
Seed 115,26-Mar,Organic Soil,1.5,1,2.7,1.5,3,0,0
Seed 116,26-Mar,Organic Soil,1.5,1,1.7,1.4,2.5,5,2
Seed 117,26-Mar,Organic Soil,1.5,1,2.2,1.3,3.1,0,0
Seed 118,26-Mar,Organic Soil,1.5,1,1.9,1.5,2.9,0,0
Seed 119,26-Mar,Organic Soil,1.5,1,2.5,1.6,3.2,0,0
Seed 120,26-Mar,Organic Soil,1.5,1,1.6,2,2.7,0,0
Seed 121,26-Mar,Organic Soil,1.5,1,2.3,1.7,3.3,0,0
Seed 122,26-Mar,Organic Soil,1.5,1,1.8,1.4,2.8,0,0
Seed 123,26-Mar,Organic Soil,1.5,1,2.1,2.2,3.1,0,0
Seed 124,26-Mar,Organic Soil,1.5,1,1.5,1.9,2.6,0,0
Seed 125,26-Mar,Organic Soil,1.5,1,2.4,1.5,3.4,0,0
Seed 126,26-Mar,Organic Soil,1.5,1,2.7,1.8,2.9,0,0
Seed 127,26-Mar,Organic Soil,1.5,1,1.7,1.6,2.5,0,0
Seed 128,26-Mar,Organic Soil,1.5,1,2,1.3,3.2,0,0
Seed 129,26-Mar,Organic Soil,1.5,1,2.6,2.3,2.7,0,0
Seed 130,26-Mar,Organic Soil,1.5,1,1.4,1.7,3.3,0,0
Seed 1,27-Mar,Loam Soil,2,1,2.8,1.5,2.8,34,2
Seed 2,27-Mar,Loam Soil,2,1,2.2,1.6,3.1,36,4
Seed 3,27-Mar,Loam Soil,2,1,1.9,2,2.9,32,2
Seed 4,27-Mar,Loam Soil,2,1,2.5,1.8,3.2,31,2
Seed 5,27-Mar,Loam Soil,2,1,1.6,1.4,2.7,43,3
Seed 6,27-Mar,Loam Soil,2,1,2.3,1.9,3.3,37,2
Seed 7,27-Mar,Loam Soil,2,1,1.8,1.7,2.8,23,2
Seed 8,27-Mar,Loam Soil,2,1,2.1,1.5,3.1,25,2
Seed 9,27-Mar,Loam Soil,2,1,1.5,2.2,2.6,36,2
Seed 10,27-Mar,Loam Soil,2,1,2.4,1.6,3.4,35,2
Seed 11,27-Mar,Loam Soil,2,1,2.7,1.8,2.9,29,2
Seed 12,27-Mar,Loam Soil,2,1,1.7,1.6,2.5,25,2
Seed 13,27-Mar,Loam Soil,2,1,2,1.4,3.2,26,2
Seed 14,27-Mar,Loam Soil,2,1,2.6,2.3,2.7,30,2
Seed 15,27-Mar,Loam Soil,2,1,1.4,1.9,3.3,44,3
Seed 16,27-Mar,Loam Soil,2,1,2.8,1.7,2.8,45,2
Seed 17,27-Mar,Loam Soil,2,1,2.2,1.6,3.1,35,3
Seed 18,27-Mar,Loam Soil,2,1,1.9,2,2.9,33,2
Seed 19,27-Mar,Loam Soil,2,1,2.5,1.8,3.2,23,2
Seed 20,27-Mar,Loam Soil,2,1,1.6,1.4,2.7,30,2
Seed 21,27-Mar,Loam Soil,2,1,2.3,1.9,3.3,27,2
Seed 22,27-Mar,Loam Soil,2,1,1.8,1.7,2.8,30,4
Seed 23,27-Mar,Loam Soil,2,1,2.1,1.5,3.1,33,2
Seed 24,27-Mar,Loam Soil,2,1,1.5,2.2,2.6,39,2
Seed 25,27-Mar,Loam Soil,2,1,2.7,1.8,2.9,44,3
Seed 26,27-Mar,Loam Soil,2,1,1.7,1.6,2.5,46,2
Seed 27,27-Mar,Loam Soil,2,1,2,1.4,3.2,33,2
Seed 28,27-Mar,Loam Soil,2,1,2.6,2.3,2.7,29,3
Seed 29,27-Mar,Loam Soil,2,1,1.4,1.9,3.3,23,2
Seed 30,27-Mar,Loam Soil,2,1,2.8,1.7,2.8,28,2
Seed 31,27-Mar,Loam Soil,2,1,2.2,1.6,3.1,29,2
Seed 32,27-Mar,Loam Soil,2,1,1.9,2,2.9,0,0
Seed 33,27-Mar,Loam Soil,2,1,2.5,1.8,3.2,18,3
Seed 34,27-Mar,Loam Soil,2,1,1.6,1.4,2.7,33,3
Seed 35,27-Mar,Loam Soil,2,1,2.3,1.9,3.3,43,2
Seed 36,27-Mar,Loam Soil,2,1,1.8,1.7,2.8,45,2
Seed 37,27-Mar,Loam Soil,2,1,2.1,1.5,3.1,39,2
Seed 38,27-Mar,Loam Soil,2,1,1.5,2.2,2.6,36,2
Seed 39,27-Mar,Loam Soil,2,1,2.4,1.6,3.4,34,2
Seed 40,27-Mar,Loam Soil,2,1,2.7,1.5,2.9,30,2
Seed 41,27-Mar,Loam Soil,2,1,1.7,1.3,2.5,35,2
Seed 42,27-Mar,Loam Soil,2,1,2,2.1,3.2,30,2
Seed 43,27-Mar,Loam Soil,2,1,2.6,1.4,2.7,30,2
Seed 44,27-Mar,Loam Soil,2,1,1.4,1.7,3.3,30,2
Seed 45,27-Mar,Loam Soil,2,1,2.8,1.6,2.8,38,2
Seed 46,27-Mar,Loam Soil,2,1,2.2,1.5,3.1,49,2
Seed 47,27-Mar,Loam Soil,2,1,1.9,2.2,2.9,43,2
Seed 48,27-Mar,Loam Soil,2,1,2.5,1.4,3.2,29,2
Seed 49,27-Mar,Loam Soil,2,1,1.6,1.8,2.7,36,2
Seed 50,27-Mar,Loam Soil,2,1,2.3,1.3,3.3,33,2
Seed 51,27-Mar,Loam Soil,2,1,1.8,2.1,2.8,39,2
Seed 52,27-Mar,Loam Soil,2,1,2.1,1.7,3.1,35,3
Seed 53,27-Mar,Loam Soil,2,1,1.5,1.5,2.6,34,2
Seed 54,27-Mar,Loam Soil,2,1,2.4,1.3,3.4,31,4
Seed 55,27-Mar,Loam Soil,2,1,2.7,2,2.9,54,2
Seed 56,27-Mar,Loam Soil,2,1,1.7,1.4,2.5,47,2
Seed 57,27-Mar,Loam Soil,2,1,2,1.6,3.2,32,2
Seed 58,27-Mar,Loam Soil,2,1,2.6,1.9,2.7,30,2
Seed 59,27-Mar,Loam Soil,2,1,1.4,1.5,3.3,29,2
Seed 60,27-Mar,Loam Soil,2,1,2.8,1.8,2.8,32,2
Seed 61,27-Mar,Loam Soil,2,1,2.2,1.6,3.1,38,2
Seed 62,27-Mar,Loam Soil,2,1,1.9,2,2.9,25,3
Seed 63,27-Mar,Loam Soil,2,1,1.6,1.4,2.7,29,2
Seed 64,27-Mar,Loam Soil,2,1,2.3,1.3,3.3,29,2
Seed 65,27-Mar,Loam Soil,2,1,1.8,2.1,2.8,51,3
Seed 66,27-Mar,Organic Soil,1.5,1,2.1,1.7,3.1,5,2
Seed 67,27-Mar,Organic Soil,1.5,1,1.5,1.5,2.6,0,0
Seed 68,27-Mar,Organic Soil,1.5,1,2.4,1.3,3.4,5,2
Seed 69,27-Mar,Organic Soil,1.5,1,2.7,2,2.9,5,2
Seed 70,27-Mar,Organic Soil,1.5,1,1.7,1.4,2.5,0,0
Seed 71,27-Mar,Organic Soil,1.5,1,2,1.6,3.2,5,2
Seed 72,27-Mar,Organic Soil,1.5,1,2.6,1.9,2.7,0,0
Seed 73,27-Mar,Organic Soil,1.5,1,1.4,1.5,3.3,0,0
Seed 74,27-Mar,Organic Soil,1.5,1,2.8,1.8,2.8,0,0
Seed 75,27-Mar,Organic Soil,1.5,1,2.2,1.6,3.1,0,0
Seed 76,27-Mar,Organic Soil,1.5,1,1.9,2,2.9,0,0
Seed 77,27-Mar,Organic Soil,1.5,1,2.5,1.8,3.2,5,2
Seed 78,27-Mar,Organic Soil,1.5,1,1.6,1.4,2.7,0,0
Seed 79,27-Mar,Organic Soil,1.5,1,2.3,1.3,3.3,5,2
Seed 80,27-Mar,Organic Soil,1.5,1,1.8,2.1,2.8,0,0
Seed 81,27-Mar,Organic Soil,1.5,1,2.1,1.7,3.1,0,0
Seed 82,27-Mar,Organic Soil,1.5,1,1.5,1.5,2.6,5,2
Seed 83,27-Mar,Organic Soil,1.5,1,2.4,1.3,3.4,0,0
Seed 84,27-Mar,Organic Soil,1.5,1,2.7,2,2.9,0,0
Seed 85,27-Mar,Organic Soil,1.5,1,1.7,1.4,2.5,0,0
Seed 86,27-Mar,Organic Soil,1.5,1,2,1.6,3.2,0,0
Seed 87,27-Mar,Organic Soil,1.5,1,2.6,1.9,2.7,0,0
Seed 88,27-Mar,Organic Soil,1.5,1,1.4,1.5,3.3,5,2
Seed 89,27-Mar,Organic Soil,1.5,1,2.8,1.8,2.8,0,0
